ID,RA (deg),DEC (deg),cluster redshift,radial velocity(km/s),Comoving Distance(Mpc/h),r_200(Mpc/h),N_200,sigma_200(km/s),lower error in sigma_200(km/s),upper error in sigma_200(km/s),"M_200 cls mass (10^14 M_sun, NFW)","error in M_200 cls mass (10^14 M_sun, NFW)",R_s (Mpc/h),error in r_s (Mpc/h),"M_s (10^14 M_sun, NFW)","error in M_s (10^14 M_sun, NFW)"
613,256.61386,31.437521,0.08274058,23782.046,243.35743,0.79119944,25,444.61319,-117.95422,182.48026,1.24E+14,4.98E+13,0.18,0.072,2.76E+13,1.10E+13
614,331.8301,-7.542738,0.05985295,17407.384,176.98907,0.79680088,27,393.84767,-69.987401,101.35156,1.24E+14,4.07E+13,0.22,0.072,3.21E+13,1.05E+13
615,214.42343,8.2184441,0.05779099,16825.469,170.97394,0.797079,63,480.63111,-64.921534,79.309976,1.24E+14,4.07E+13,0.22,0.072,3.21E+13,1.05E+13
616,223.2472,16.769719,0.04487038,13150.298,133.14744,0.79939218,95,480.48163,-56.711055,80.388754,1.24E+14,3.57E+13,0.25,0.072,3.55E+13,1.02E+13
617,223.96026,22.386876,0.07887389,22715.96,232.19658,0.79033143,7,445.5229,-311.09284,240.26503,1.24E+14,6.00E+13,0.14,0.068,2.29E+13,1.11E+13
618,248.15833,12.889183,0.087317198,25038.178,256.54023,0.78763126,20,353.28683,-67.531903,83.323116,1.23E+14,3.84E+13,0.36,0.112,5.04E+13,1.57E+13
619,228.06566,27.834874,0.07021321,20312.116,207.12212,0.79164673,16,402.12224,-81.698557,96.760646,1.23E+14,4.22E+13,0.14,0.048,2.28E+13,7.80E+12
620,27.95193,1.18608,0.07981879,22976.885,234.92589,0.78914833,13,508.84763,-112.12945,118.47615,1.23E+14,9.03E+13,0.12,0.088,2.06E+13,1.51E+13
621,164.99835,43.18911,0.076919145,22175.34,226.54639,0.78979979,9,428.9124,-173.07957,142.38442,1.23E+14,5.44E+13,0.19,0.084,2.85E+13,1.26E+13
622,176.82126,7.8806694,0.08318397,23904.011,244.63589,0.78755755,25,517.46036,-96.460178,157.34957,1.23E+14,4.09E+13,0.12,0.04,2.05E+13,6.84E+12
623,174.12183,7.2030771,0.1029693,29287.721,301.40207,0.78244606,10,462.71181,-163.71624,307.01385,1.23E+14,4.68E+13,0.21,0.08,3.10E+13,1.18E+13
624,130.23461,17.211266,0.114765,32442.992,334.98136,0.77907595,11,481.97333,-156.33505,214.20004,1.23E+14,4.14E+13,0.32,0.108,4.51E+13,1.52E+13
625,244.13962,42.432509,0.1360923,38045.647,395.19167,0.77344411,9,404.50771,-140.84406,191.20037,1.23E+14,3.92E+13,0.2,0.064,3.01E+13,9.62E+12
626,219.342,24.8011,0.08810594,25254.039,258.80919,0.78574968,30,462.76082,-72.56437,111.52535,1.23E+14,3.23E+13,0.47,0.124,6.63E+13,1.75E+13
627,112.07399,41.390854,0.1182267,33361.303,344.79837,0.77743793,14,379.53196,-125.55003,211.09081,1.22E+14,3.33E+13,0.25,0.068,3.60E+13,9.79E+12
628,185.48701,13.738272,0.08203592,23588.092,241.32506,0.78664887,29,480.90927,-85.426836,129.63011,1.22E+14,4.50E+13,0.25,0.092,3.56E+13,1.31E+13
629,140.01125,33.75825,0.023263035,6892.9847,69.373999,0.80138287,78,460.00074,-77.333765,101.38985,1.22E+14,3.86E+13,0.19,0.06,2.80E+13,8.84E+12
630,201.2601,-1.0090779,0.083021251,23859.258,244.16674,0.78600415,10,376.60671,-80.322395,104.65948,1.22E+14,4.88E+13,0.11,0.044,1.93E+13,7.73E+12
631,245.80952,37.928143,0.03086045,9109.0398,91.870759,0.79853559,56,482.96493,-50.896016,64.856422,1.22E+14,3.47E+13,0.52,0.148,7.24E+13,2.06E+13
632,211.94983,14.027704,0.1345112,37634.787,390.75027,0.77174986,16,454.44836,-118.06423,179.09058,1.22E+14,3.24E+13,0.21,0.056,3.11E+13,8.29E+12
633,155.89208,0.17495296,0.094366098,26960.833,276.78656,0.78170732,10,435.55063,-104.02198,158.65655,1.21E+14,4.05E+13,0.12,0.04,2.04E+13,6.80E+12
634,214.94392,20.824703,0.1089525,30893.245,318.45938,0.77794006,14,457.15113,-175.80192,237.5178,1.21E+14,6.00E+13,0.17,0.084,2.61E+13,1.29E+13
635,162.34726,0.99201399,0.10507925,29855.093,307.42306,0.77822737,19,441.46505,-90.734207,132.75344,1.21E+14,3.87E+13,0.15,0.048,2.38E+13,7.60E+12
636,225.55535,21.347011,0.06186754,17974.712,182.86029,0.78923641,27,406.93161,-68.944404,99.074601,1.21E+14,3.18E+13,0.32,0.084,4.40E+13,1.15E+13
637,173.56585,54.174931,0.069535746,20123.146,205.15629,0.78729382,13,391.6741,-148.10857,200.99756,1.21E+14,3.69E+13,0.21,0.064,3.04E+13,9.27E+12
638,340.38414,12.586935,0.10035305,28582.4,293.92755,0.77942102,13,465.94655,-120.2573,209.54389,1.21E+14,4.15E+13,0.07,0.024,1.48E+13,5.08E+12
639,130.55874,42.119787,0.12733474,35760.911,370.54627,0.77214215,14,435.72798,-134.25768,204.14344,1.21E+14,3.76E+13,0.36,0.112,5.04E+13,1.57E+13
640,112.97712,39.160104,0.088499697,25361.734,259.94158,0.78171557,11,379.84736,-175.45258,133.34657,1.21E+14,4.83E+13,0.17,0.068,2.59E+13,1.04E+13
